billingCurrency_id,billingCurrency_shortName,billingMode_description,billingMode_id,bpmResponsible,bpmStatus,bpmStatus_id,bpmStatus_label,businessDescription_description,businessDescription_id,created_at,currency_id,currency_shortName,customer_customer_classification,customer_displayName,customer_id,customer_name,customer_trade_name,displayName,estimatedFinishDate,expedient,finishedDate,fix_rate_value,hourLimit,id,isBillable,limitAlert,milestones,milestonesTotal,monthlyFixRateGroup,monthlyFixRateGroup_hour_limit,monthlyFixRateGroup_id,monthlyFixRateGroup_name,monthlyFixRateGroup_rate,notes,practiceArea_id,practiceArea_name,primary_external_code,riskStatus,secondaryExternalCode,status,statusMarking
1,USD,Monto Fijo por Asunto,3,,,,,3Mtm COMPLY tm EOCHEMICAL INDICATOR STRIPS 1251 DI-89596/2024,3515,2024-11-05 16:22:47,1,USD,,599 - 3M COMPANY,2,3M COMPANY,3M COMPANY,000599-RE-000889 - 3Mtm COMPLY tm EOCHEMICAL INDICATOR STRIPS 1251 DI-89596/2024,,000599-RE-000889,,333,,3655,True,,,0,,,,,,,28,Registros Sanitarios-Regul.,000599-RE-000889,,,4,billed
1,USD,Monto Fijo por Asunto,3,,,checked,Verificado,Agotamiento de Stock DI-38477/2017 3M AVAGARD,4243,2025-06-11 14:17:04,1,USD,,599 - 3M COMPANY,2,3M COMPANY,3M COMPANY,000599-RE-001243 - Agotamiento de Stock DI-38477/2017 3M AVAGARD,,000599-RE-001243,,405,,4435,True,,,0,,,,,,,28,Registros Sanitarios-Regul.,000599-RE-001243,,,4,billed
1,USD,Monto Fijo por Asunto,3,,,checked,Verificado,Agotamiento de Stock DI-38477/2019 3M AVAGARD,4245,2025-06-11 14:20:10,1,USD,,599 - 3M COMPANY,2,3M COMPANY,3M COMPANY,000599-RE-001245 - Agotamiento de Stock DI-38477/2019 3M AVAGARD,,000599-RE-001245,,405,,4437,True,,,0,,,,,,,28,Registros Sanitarios-Regul.,000599-RE-001245,,,2,disabled
1,USD,Monto Fijo por Asunto,3,,,checked,Verificado,Agotamiento de Stock DI-51044/2019 3M RED DOT MONITORING ELECTRODE WITH FOAM TAPE,4244,2025-06-11 14:18:38,1,USD,,599 - 3M COMPANY,2,3M COMPANY,3M COMPANY,000599-RE-001244 - Agotamiento de Stock DI-51044/2019 3M RED DOT MONITORING ELECTRODE WITH FOAM TAPE,,000599-RE-001244,,405,,4436,True,,,0,,,,,,,28,Registros Sanitarios-Regul.,000599-RE-001244,,,2,disabled
1,USD,Por Horas,1,,,,,Asesoría regulatoria especializada por horas,27,2023-08-30 05:00:00,1,USD,,599 - 3M COMPANY,2,3M COMPANY,3M COMPANY,000599-SR-001113 - Asesoría regulatoria especializada por horas,,000599-SR-001113,,0,,29,True,0,,0,,,,,,Favor liquidar mensualmente. Considerar que por el Contrato no se aceptan facturas con más de tres meses de acumulación,28,Registros Sanitarios-Regul.,000599-SR-001113,,86,1,active
1,USD,Monto Fijo por Asunto,3,,,,,CANCELACIÓN DI-58080/2021 3M HEALTHCARE PARTICULATE RESPIRATOR AND SURGICAL MASK,2772,2024-04-11 21:33:49,1,USD,,599 - 3M COMPANY,2,3M COMPANY,3M COMPANY,000599-RE-000682 - CANCELACIÓN DI-58080/2021 3M HEALTHCARE PARTICULATE RESPIRATOR AND SURGICAL MASK,,000599-RE-000682,,405,,2837,True,,,0,,,,,,,28,Registros Sanitarios-Regul.,000599-RE-000682,,,4,billed
1,USD,Monto Fijo por Asunto,3,,,checked,Verificado,Certificado de Agotamiento de Stock AREA MEDICAL DI-38477/2019  3M AVAGARD,4401,2025-08-14 16:31:50,1,USD,,599 - 3M COMPANY,2,3M COMPANY,3M COMPANY,000599-RE-001288 - Certificado de Agotamiento de Stock AREA MEDICAL DI-38477/2019  3M AVAGARD,2026-01-02 00:00:00,000599-RE-001288,,405,,4605,True,0,,0,,,,,,,28,Registros Sanitarios-Regul.,000599-RE-001288,green,,1,active
1,USD,Monto Fijo por Asunto,3,,,,,FOTOCOPIAS LEGALIZADAS 3M ATTEST SUPER RAPID READOUT BIOLOGICAL INDICATOR 1492V - SOLUCIONES DE SALUD MEDICINA Y EQUIPOS SRL,4121,2025-05-13 10:10:08,1,USD,,599 - 3M COMPANY,2,3M COMPANY,3M COMPANY,000599-RE-001164 - FOTOCOPIAS LEGALIZADAS 3M ATTEST SUPER RAPID READOUT BIOLOGICAL INDICATOR 1492V - SOLUCIONES DE SALUD MEDICINA Y EQUIPOS SRL,,000599-RE-001164,,80,,4305,True,,,0,,,,,,,28,Registros Sanitarios-Regul.,000599-RE-001164,,,4,billed
1,USD,Monto Fijo por Asunto,3,,,,,FOTOCOPIAS LEGALIZADAS 3M MICROPORE TAPE - SOLUCIONES DE SALUD MEDICINA Y EQUIPOS SRL,4120,2025-05-13 10:07:56,1,USD,,599 - 3M COMPANY,2,3M COMPANY,3M COMPANY,000599-RE-001163 - FOTOCOPIAS LEGALIZADAS 3M MICROPORE TAPE - SOLUCIONES DE SALUD MEDICINA Y EQUIPOS SRL,,000599-RE-001163,,80,,4304,True,,,0,,,,,,,28,Registros Sanitarios-Regul.,000599-RE-001163,,,4,billed
1,USD,Por Hitos o Etapas,4,,,,,Fotocopias legalizadas Dispromed,2494,2024-02-29 15:42:58,1,USD,,599 - 3M COMPANY,2,3M COMPANY,3M COMPANY,000599-RE-000495 - Fotocopias legalizadas Dispromed,,000599-RE-000495,,0,,2552,True,,"[{""id"": ""531"", ""name"": ""3M STERI - GAS CARTRIGES DI-38037/19 FOTOCOPIAS LEGALIZADAS NUMERO 30""}, {""id"": ""532"", ""name"": ""3M AVAGARD DI-38477/19 NUMERO 30 FOTOCOPIAS LEGALIZADAS""}, {""id"": ""536"", ""name"": ""3M COMPLY STEAM INDICATOR TAPE DI-37587/19 FOTOCOPIAS LEGALIZADAS NUMERO 20""}, {""id"": ""537"", ""name"": ""3M ATTEST STEAM CHEMICAL INTEGRATORS DI-75306/20 FOTOCOPIAS LEGALIZADAS 50""}, {""id"": ""538"", ""name"": ""3M RED MONITORING ELECTRODE WITH FOAM PATE DI-51044/19 FOTOCOPIAS LEGALIZADAS NUMERO 50""}, {""id"": ""539"", ""name"": ""3M SOLUPREP APLICADOR DI-52774/19 FOTOCOPIAS LEGALIZADAS NUMERO 15""}, {""id"": ""540"", ""name"": ""3M SOLUPREP SWAB; SPONGE DI-53027/19 FOTOCOPIAS LEGALIZADAS 15""}, {""id"": ""541"", ""name"": ""3M SOLUPREP WIPE DI-53026/19 FOTOCOPIAS LEGALIZADAS NUMERO 15""}, {""id"": ""542"", ""name"": ""3M ATTEST SUPER RAPID READOUT BIOLOGICAL INDICATOR DI-52874/19 FOTOCOPIAS LEGALIZADAS NUMERO 30""}, {""id"": ""543"", ""name"": ""3M ATTEST SUPER RAPID 5 STEAM-PLUS DI-54243/19 FOTOCOPIAS LEGALIZADAS NUMERO 5""}, {""id"": ""544"", ""name"": ""DI-54222/20 FOTOCOPIAS LEGALIZADAS NUMERO 5 3M BOBINA PELABLE POUCH CON INDICADOR QUIMICO""}, {""id"": ""545"", ""name"": ""EM MASCARILLA QUIRURGICA DI-58080/21 FOTOCOPIAS LEGALIZADAS NUMERO 15""}, {""id"": ""546"", ""name"": ""SCOTCHCAST PLUS DI-59351/22 FOTOCOPIAS LEGALIZADAS NUMERO 10""}, {""id"": ""547"", ""name"": ""3M MEDIPORE SOFT CLOTH SURGICAL TAPE DI-39163/20 FOTOCOPIAS LEGALIZADAS NUMERO 10""}, {""id"": ""548"", ""name"": ""3M CAVILON NO STING BARRIER FILM DI-38890/19 FOTOCOPIAS LEGALIZADAS NUMERO 20""}, {""id"": ""549"", ""name"": ""3M TEGADERM CHG CHOLRHEXIDINE GLUCONATE IV SECUREMENT DI-54035/19 FOTOCOPIAS LEGALIZADAS NUMERO 30""}, {""id"": ""550"", ""name"": ""3M BAIR HUGGER BLANKETS DI-55363/20 FOTOCOPIAS LEGALIZADAS NUMERO 5""}, {""id"": ""551"", ""name"": ""3M RANGER; 3M BAIR HUGGER DI-57315/20 FOTOCOPIAS LEGALIZADAS NUMERO 5""}, {""id"": ""552"", ""name"": ""3M TEGADERM IV ADVANCED SECUREMENT DRESSING DI-56376/20 FOTOCOPIAS LEGALIZADAS NUMERO 80""}, {""id"": ""553"", ""name"": ""3M COBAN SELF-ADHERENT WRAP DI-56433/20 FOTOCOPIAS LEGALIZADAS NUMERO 10""}, {""id"": ""554"", ""name"": ""3M RANGER BLOOD/FLUID WARMING SYSTEM DI-74981/20 FOTOCOPIAS LEGALIZADAS NUMERO 5""}, {""id"": ""555"", ""name"": ""3M TRANSPORT SURGICAL TAPE DI-88719/2024 FOTOCOPIAS LEGALIZADAS NUMERO 80""}, {""id"": ""556"", ""name"": ""3M MICROPORE SURGICAL TAPE DI-88747/2024 FOTOCOPIAS LEGALIZADAS NUMERO 30""}]",1840,,,,,,,28,Registros Sanitarios-Regul.,000599-RE-000495,,,2,disabled
